PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02OvQ,5qr1/pb1kp3/1prn4/3pQpp1/3P4/1P1BPP1P/P5PB/2R2RK1 w - - 4 29,d3b5 d6b5 e5d5 b5d6 h2d6 e7d6 c1c6 b7c6,1830,74,89,1605,advantage middlegame veryLong,https://lichess.org/kX2C05fp#57,
0PVqf,r2qr1k1/pp1bbppp/5n2/3p4/1P1P3B/2PQ1P2/P1B3PP/R3KN1R w KQ - 3 19,e1f2 f6e4 f3e4 e7h4,1749,76,88,1462,advantage discoveredAttack middlegame short,https://lichess.org/SnkNHgv0#37,Queens_Pawn_Game Queens_Pawn_Game_London_System
0DrId,r1b1R3/1q3pk1/pp1p1b1p/2pP1p1Q/P7/3B4/1PP2PPP/3R2K1 w - - 1 25,d3f5 c8f5 e8a8 f5g6 a8g8 g7g8,1698,74,92,2201,advantage long middlegame sacrifice,https://lichess.org/8CVswQgP#49,
005f3,r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32,d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8,2003,74,95,13613,crushing endgame sacrifice veryLong,https://lichess.org/Prb24UzR/black#64,
06bm7,2kr3r/pppb1p1p/3p3n/3Nn1q1/4P1p1/1B1P4/PPP3PP/R3QRK1 b - - 7 16,f7f5 e1a5 c8b8 a5c7 b8a8 c7d6,2043,76,93,373,advantage long middlegame queensideAttack,https://lichess.org/DcwR1KOS/black#32,Kings_Gambit_Accepted Kings_Gambit_Accepted_Salvio_Gambit
0PwMA,3r2k1/3P2pp/2p1p3/p7/2Q2P2/q7/6PP/3R3K b - - 3 37,d8d7 c4e6 d7f7 d1d8,1300,74,95,17260,advantage endgame fork pin short,https://lichess.org/wasy4HSg/black#74,
0WF4B,r1b1k3/1pqpnn1p/p2bpQr1/6p1/3NP3/1B4BP/PPP2PP1/RN3RK1 w q - 2 16,g3d6 c7d6 f6f3 d6d4,1473,75,94,11990,advantage middlegame short,https://lichess.org/QDCGPuUb#31,Sicilian_Defense Sicilian_Defense_Old_Sicilian
03X8P,6k1/p4p2/P3p2Q/1p4P1/6q1/1KP5/1P6/8 w - - 0 46,h6f6 g4a4,955,77,97,3088,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/Eqs0mMnS#91,
06x7s,r3r1k1/3q1ppp/p2p4/1p1Q4/8/P7/1P3PPP/2RR2K1 w - - 3 24,d5d6 e8e1 d1e1 d7d6,1148,79,94,2603,advantage deflection endgame short,https://lichess.org/5s4cuUmX#47,
04DEv,r4rk1/1p2bpp1/3p3p/p1pPp3/3nPPq1/PP1P2P1/4N1KP/R1BQ1R2 w - - 3 18,h2h3 g4e2 d1e2 d4e2,1471,75,94,29497,advantage middlegame short,https://lichess.org/xP6cTRh7#35,English_Opening English_Opening_Symmetrical_Variation
0H0mc,5b1r/p3kp2/Q3b2p/4q3/3pB3/8/PrP3PP/4RRK1 b - - 1 20,e5c7 a6a3 e7d8 a3b2,1176,76,95,8718,advantage fork middlegame short,https://lichess.org/I3bbMTu2/black#40,
06L5W,rnbqk2r/1ppppp2/5P1b/p6p/2B2Qp1/8/PPPP1PPP/RNB1K1NR w KQkq - 2 7,f6e7 d8e7 f4e3 h6e3,1100,88,87,870,advantage opening short,https://lichess.org/cSfI7L6K#13,Ware_Defense Ware_Defense_Other_variations
